index,restaurant_exp,date,real_exp
1,557.8,12/1/2005,623.1
2,559.9,3/1/2006,619.6
3,567.2,6/1/2006,623.3
4,580.1,9/1/2006,632.7
5,583.7,12/1/2006,629.8
6,591.1,3/1/2007,631.3
7,598.9,6/1/2007,631.9
8,608.8,9/1/2007,637.4
9,607,12/1/2007,629
10,614.7,3/1/2008,632.4
11,616.1,6/1/2008,626.3
12,612,9/1/2008,616.7
13,604.2,12/1/2008,605.8
14,599.2,3/1/2009,599.9
15,597.6,6/1/2009,598.2
16,600.4,9/1/2009,597.5
17,607.1,12/1/2009,603.1
18,614.7,3/1/2010,607.7
19,620.6,6/1/2010,611.3
20,628.4,9/1/2010,616.3
21,637.8,12/1/2010,622.1
22,645.2,3/1/2011,623.3
23,654.7,6/1/2011,626.4
24,660.3,9/1/2011,629.2
25,673.1,12/1/2011,636.3
26,681.9,3/1/2012,639.5
27,688.7,6/1/2012,642.7
28,696.8,9/1/2012,647.3
29,705.6,12/1/2012,653.2
30,703.8,3/1/2013,646.8
31,710.3,6/1/2013,649.5
32,723.7,9/1/2013,660.5
33,728,12/1/2013,660
34,746.9,3/1/2014,670.5
35,761,6/1/2014,678.1
36,779,9/1/2014,687.8
37,789.5,12/1/2014,692.3
38,805.2,3/1/2015,703.5
39,812.7,6/1/2015,706.3
40,827.7,9/1/2015,712.9
41,838.8,12/1/2015,717.2
42,848.4,3/1/2016,721.9
43,857.5,6/1/2016,725.8
44,862.8,9/1/2016,725.7